id,password,name,email,phone,address,age
1,jonghoThankyou,박종호,jongho@Thankyou.com,010-6432-9328,서울 특별시 은평구 응암동 12x -x,333
2,hamAlexLove!@,만즈소니아,hambuogor@bob.or.kr,010-4412-3124,아크로바 공화국,19
3,qwer1234,박종호,mainjohn@naver.com,010-643x-932x,서울 특별시 은평구 응암동 12x -x,18
4,_-__-___-____-_,박준석,jenofire3125@gmail.com,000-0000-0000,우주,18
5,qpalzm,소서용,sosu@gmail.com,010-3135-5924,은평구,18
6,asdfg,평양,pyongyang@gmail.com,102-1233-1111,평양시,20
7,q1w2e3,염재준,jaejun@gamil.com,010-3839-****,녹번동,18
8,5678,오태관,qwer123t@gmail.com,010-9876-5432,서울시 서대문구,18
9,1234,오태수,4321@gmail.com,010-0000-0000,고양시 덕양구,18
10,vudzoavudzbzoa,원정민,edg341@gmail.com,010-3428-8088,서울시 은평구 녹번동,18
11,yjs0321,유준수,yoojunsoo@gmail.com,010-0321-1230,서울시 은평구 갈현2동,18
12,1212,이건주,rjswn@gmail.com,010-8888-8888,경기도 고양시,17
13,2222,이다희,da12@naver.com,010-5968-4635,경기도 파주시,18
14,leeeee,이소현,123456@gmail.com,010.xxxx.xxxx,서울특별시 은평구통일로,18
15,yes,이지민,lee@gmail.com,010-0000-0000,서울특별시 마포구 상암동,18
16,hshgs,김더미,dummy@hmail.com,1321313,지구 어딘가,20
17,123456,이채린,lcr01150@naver.com,010-1234-5678,서울시 은평구,18
18,1111,임동영,dongyoung207@naver.com,010-0101-0101,경기도 고양시,18
19,qlalfqjsgh,조병진,rgrg@naver.com,010-0000-1111,경기도 고양시,18
20,qweasdzxc12,주민규,empal03@naver.com,010-4657-9254,경기도 고양시,18
21,p@$$w0rd,민성,cubone0412@naver.com,010-x42x-xx0x,서울특별시 은평구 역촌동,18
22,1234,최민우,binu@naver.com,010-8223-95**,지구 서울특별시 은평구 녹번동,18
23,qwe1234,최용호,yy@naver.com,010-5214-****,은평구,18
24,alex182,함알렉산더,alex@182cm.com,010-3997-73**,서울 성북구,18
25,rockseal,이근대위,rockseal@musat.com,010-1111-1111,무사트,37
26,brrkakkak,이건모,whatisthis@naver.com,010-2656-3316,조선인민공화국 황해도 가령군,41
27,asdf1234,박종호,mainjohn@naver.com,010-6432-932X,서울 특별시 은평구,18
28,test,test,email@exmple.com,test,test,18
29,qpalzm,소서용,sosu@gmail.com,010-1693-3495,은평구,18
30,hideOnBush,롤,league@legend.com,02-3454-1560,라이엇게임즈코리아,100
31,a1s2d3,염재준,junjae@gmail.com,010-3839-****,녹번동,18
32,6783,오태관,dhxorhks@gmail.com,010-1111-2222,서울시 노원구,18
33,99999999,오태수,8888888888@gmail.com,010-7777-7777,경기도,18
34,vudzoavudzbzoa,원정민,edg341@gmail.com,010-3428-8088,평양,180
35,wnstn,유준수,yoojunsoo@gmail.com,010-4870-2633,고양시 은평구 고양동,18
36,rjswn,이건주,rjswn1595@gmail.com,010-4104-6229,경기도 고양시,17
37,8520,이다희,h52@gmail.com,010-3458-9641,경기도 파주시,18
38,1214,lsh,lsh@gmail.com,010.2510.xxxx,서울 은평구 ,18
39,Rasputin,블라디미르 푸틴,russia@russia.net,495-423-5423,러시아 모스크바,68
40,RaRaRasputin,라스푸틴,nosua@russia.net,522-4545-8855,러시아 모스크바 옆,82
41,115,이채린,dlcofls01150@naver.com,010-0115-0115,서울시 은평구,18
42,1212,임동영,imdong207@gmail.com,010-1212-1212,경기도 고양시,18
43,5341,조병진,adss@naver.com,010-5341-1111,경기도 고양시,18
44,qweasdzxc12,주민규,empal03@naver.com,010-4657-9254,경기도 고양시 덕양구,18
45,!password,4N,4N@gmail.com,010-x4x4-x4x4,함경북도,32
46,9396,최민우,helloDB@gmail.com,010-1234-5678,지구 대한민국 서울 은평구,82
47,qwe321,용호최,smc@naver.com,010-***4-****,최꼬,18
48,alex,알렉산더,school@alex.net,010-39**-7382,태평양 어딘가,18
